ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C00_C97_Male,2000_2005,2006_2010,5,Stratified_EQI,0.00,"20.22(15.76,24.57)***","25.90(21.55,30.23)***","28.62(24.13,32.96)***","36.95(32.29,41.44)***",0.0002,0.0002,0.0002,0.0002,1.0023,1.0018,1.0013,1.0022,2393,2132,1976,1796,2580,2697,2589,2307
"C00_C97_Male","2000_2005","2006_2010",5,"Stratified_Air","0.00","21.86(17.40,26.28)***","26.98(22.47,31.59)***","26.93(22.31,31.48)***","27.74(22.80,32.55)***","0.0002","0.0002","0.0002","0.0002","0.9997","1.0000","0.9997","1.0010",2792,2535,2319,2215,2618,2681,2338,2554
"C00_C97_Male","2000_2005","2006_2010",5,"Stratified_Water","0.00","-8.83(-13.80,-3.81)***","5.27(0.55,10.26)*","5.95(1.11,11.01)*","7.51(2.18,12.83)**","0.0002","0.0312","0.0152","0.0037","1.0007","0.9999","1.0010","1.0015",2324,2080,1972,1895,2708,2436,2444,2329
"C00_C97_Male","2000_2005","2006_2010",5,"Stratified_Land","0.00","-3.24(-7.36,0.95)","0.53(-3.75,4.89)","-1.20(-5.83,3.54)","4.72(-0.04,9.57)","0.1192","0.8160","0.6176","0.0537","1.0001","1.0020","0.9995","1.0002",3097,2551,2275,2330,2949,2874,2745,2900
"C00_C97_Male","2000_2005","2006_2010",5,"Stratified_Built","0.00","18.09(14.07,22.25)***","18.25(14.04,22.36)***","19.71(15.56,23.86)***","21.55(17.10,25.90)***","0.0002","0.0002","0.0002","0.0002","1.0010","0.9997","1.0001","1.0004",2756,2573,2350,2321,2983,2880,2669,2862
"C00_C97_Male","2000_2005","2006_2010",5,"Stratified_Social","0.00","-1.30(-5.14,2.71)","-1.84(-5.97,2.28)","3.43(-0.78,7.60)","7.20(2.56,11.83)**","0.5356","0.3722","0.1087","0.0042","1.0004","1.0009","1.0004","1.0013",3087,2681,2510,2270,3179,3090,3088,2418
"C00_C97_Male","2000_2005","2006_2010",5,"Stratified_EQI","0.00","4.28(-1.18,9.91)","9.09(4.15,14.19)***","11.30(6.76,16.17)***","16.71(12.13,21.26)***","0.1202","0.0002","0.0002","0.0002","1.0013","1.0000","1.0006","1.0017",2013,1828,1434,1422,2458,2273,2203,2198
"C00_C97_Male","2000_2005","2006_2010",5,"Stratified_Air","0.00","2.88(-3.34,9.06)","10.13(4.61,15.59)***","10.16(4.90,15.35)***","15.42(9.98,20.56)***","0.3572","0.0002","0.0007","0.0002","1.0003","1.0003","1.0008","1.0010",3188,2296,2179,1881,3198,2812,2550,2758
"C00_C97_Male","2000_2005","2006_2010",5,"Stratified_Water","0.00","-0.27(-5.37,4.77)","1.94(-2.84,6.64)","-0.09(-4.87,4.55)","2.69(-2.27,7.55)","0.9150","0.4266","0.9840","0.2827","1.0007","1.0011","1.0007","1.0004",2744,2510,2601,2354,2921,2887,2874,2784
"C00_C97_Male","2000_2005","2006_2010",5,"Stratified_Land","0.00","3.31(-0.63,7.33)","3.81(-0.15,7.70)","0.38(-4.04,4.92)","3.12(-1.63,7.61)","0.1102","0.0592","0.8630","0.1792","1.0023","1.0011","1.0005","1.0017",3608,3463,2919,2785,3140,2975,3203,3281
