ICD_Code	EQI_Period	AAMR_Period	Lag	Model	Q1	Q2	Q3	Q4	Q5

Sex Male

C00_C97	2000_2005	2006_2010	5	EQI	0.00	7.36(4.03,10.71)***	7.10(3.64,10.42)***	8.24(4.76,11.64)***	15.26(11.42,18.92)***
C00_C97	2000_2005	2006_2010	5	EQI_Air	0.00	5.89(2.19,9.66)**	8.75(5.03,12.44)***	11.59(7.63,15.28)***	15.49(11.23,19.54)***
C00_C97	2000_2005	2006_2010	5	EQI_Water	0.00	2.63(-1.68,6.86)	3.59(-0.45,7.67)	4.39(0.33,8.53)*	4.24(-0.03,8.48)
C00_C97	2000_2005	2006_2010	5	EQI_Land	0.00	0.55(-2.52,3.62)	2.83(-0.37,6.02)	2.86(-0.77,6.61)	4.08(-0.03,8.14)
C00_C97	2000_2005	2006_2010	5	EQI_Built	0.00	6.78(3.47,10.12)***	6.09(2.82,9.32)***	7.12(3.78,10.47)***	9.26(5.77,12.75)***
C00_C97	2000_2005	2006_2010	5	EQI_Social	0.00	-0.20(-3.44,3.12)	-5.09(-8.24,-1.90)**	-3.33(-6.58,-0.01)	0.15(-3.30,3.80)
C00_C97	2000_2005	2011_2015	10	EQI	0.00	9.44(6.25,12.56)***	9.55(6.38,12.62)***	11.62(8.39,14.79)***	15.05(11.58,18.32)***
C00_C97	2000_2005	2011_2015	10	EQI_Air	0.00	11.18(7.62,14.78)***	12.99(9.59,16.51)***	14.69(11.17,18.39)***	16.41(12.69,20.36)***
C00_C97	2000_2005	2011_2015	10	EQI_Water	0.00	2.20(-1.76,6.24)	0.62(-3.31,4.38)	3.29(-0.45,7.12)	2.83(-1.16,6.87)
C00_C97	2000_2005	2011_2015	10	EQI_Land	0.00	1.61(-1.36,4.48)	-0.74(-3.95,2.55)	2.41(-0.90,5.82)	2.19(-1.44,5.88)
C00_C97	2000_2005	2011_2015	10	EQI_Built	0.00	7.81(4.70,11.03)***	9.31(6.16,12.41)***	9.15(5.95,12.31)***	11.60(8.18,14.91)***
C00_C97	2000_2005	2011_2015	10	EQI_Social	0.00	-0.41(-3.47,2.73)	-2.85(-5.97,0.35)	-4.26(-7.37,-1.04)**	-2.45(-5.88,1.06)
C00_C97	2006_2010	2011_2015	5	EQI	0.00	5.21(1.75,8.49)**	5.20(1.76,8.67)**	5.72(2.14,9.33)**	5.46(1.72,9.23)**
C00_C97	2006_2010	2011_2015	5	EQI_Air	0.00	5.58(2.42,8.76)***	4.29(0.95,7.63)*	7.64(4.28,10.97)***	6.69(3.25,10.29)***
C00_C97	2006_2010	2011_2015	5	EQI_Water	0.00	-3.29(-6.82,0.21)	-1.04(-4.55,2.50)	0.25(-3.27,3.80)	1.37(-2.41,5.16)
C00_C97	2006_2010	2011_2015	5	EQI_Land	0.00	5.41(2.57,8.37)***	7.34(4.45,10.21)***	8.13(5.13,11.19)***	9.02(5.89,12.27)***
C00_C97	2006_2010	2011_2015	5	EQI_Built	0.00	1.84(-1.26,4.92)	1.55(-1.71,4.89)	-1.15(-4.43,2.07)	-5.63(-8.99,-2.25)**
C00_C97	2006_2010	2011_2015	5	EQI_Social	0.00	-4.48(-7.22,-1.76)**	-3.22(-6.30,-0.14)*	-5.92(-9.32,-2.51)***	-8.00(-11.98,-4.08)***
C00_C97	2006_2010	2016_2020	10	EQI	0.00	6.40(3.36,9.63)***	4.88(1.75,8.06)**	3.96(0.71,7.31)*	4.47(1.12,7.88)**
C00_C97	2006_2010	2016_2020	10	EQI_Air	0.00	2.72(-0.24,5.74)	2.20(-0.83,5.27)	3.92(0.54,7.12)*	5.27(1.91,8.60)**
C00_C97	2006_2010	2016_2020	10	EQI_Water	0.00	-2.86(-6.22,0.41)	0.90(-2.54,4.37)	0.79(-2.47,4.23)	2.71(-0.82,6.28)
C00_C97	2006_2010	2016_2020	10	EQI_Land	0.00	6.32(3.68,8.94)***	9.17(6.40,11.86)***	10.08(7.31,12.89)***	12.56(9.48,15.46)***
C00_C97	2006_2010	2016_2020	10	EQI_Built	0.00	3.76(0.92,6.67)*	2.43(-0.65,5.48)	0.36(-2.81,3.39)	-4.03(-7.18,-0.89)*
C00_C97	2006_2010	2016_2020	10	EQI_Social	0.00	-2.49(-5.10,0.05)	-0.55(-3.48,2.39)	0.42(-2.70,3.50)	-1.99(-5.61,1.41)

Sex Female

C00_C97	2000_2005	2006_2010	5	EQI	0.00	8.43(5.88,11.00)***	9.51(6.96,12.06)***	12.36(9.85,14.93)***	18.46(15.68,21.18)***
C00_C97	2000_2005	2006_2010	5	EQI_Air	0.00	6.68(3.76,9.56)***	8.03(5.15,10.90)***	9.52(6.66,12.31)***	13.58(10.65,16.53)***
C00_C97	2000_2005	2006_2010	5	EQI_Water	0.00	4.38(1.20,7.45)**	4.24(1.21,7.31)**	5.02(1.97,8.09)**	5.00(1.83,8.13)**
C00_C97	2000_2005	2006_2010	5	EQI_Land	0.00	3.02(0.80,5.26)*	4.36(1.92,6.63)**	5.05(2.45,7.59)***	4.61(1.86,7.28)***
C00_C97	2000_2005	2006_2010	5	EQI_Built	0.00	4.88(2.28,7.47)***	5.88(3.21,8.45)***	7.83(5.07,10.39)***	9.35(6.55,12.07)***
C00_C97	2000_2005	2006_2010	5	EQI_Social	0.00	-1.46(-3.94,0.93)	-3.26(-5.79,-0.84)**	-1.50(-4.10,1.09)	1.61(-1.25,4.39)
C00_C97	2000_2005	2011_2015	10	EQI	0.00	4.70(2.40,6.96)***	5.77(3.58,7.95)***	8.32(6.08,10.55)***	12.56(10.25,14.91)***
C00_C97	2000_2005	2011_2015	10	EQI_Air	0.00	4.90(2.24,7.58)***	7.21(4.57,9.85)***	7.65(4.89,10.38)***	10.35(7.43,13.21)***
C00_C97	2000_2005	2011_2015	10	EQI_Water	0.00	1.70(-1.12,4.68)	0.28(-2.51,3.15)	1.99(-0.78,4.95)	2.01(-0.87,4.99)
C00_C97	2000_2005	2011_2015	10	EQI_Land	0.00	2.39(0.46,4.38)*	2.76(0.62,4.89)*	2.97(0.71,5.37)*	3.65(1.15,6.26)**
C00_C97	2000_2005	2011_2015	10	EQI_Built	0.00	2.49(0.29,4.67)*	4.33(2.09,6.49)***	5.13(2.92,7.24)***	7.28(4.98,9.60)***
C00_C97	2000_2005	2011_2015	10	EQI_Social	0.00	-0.76(-2.90,1.37)	-2.55(-4.79,-0.40)*	-2.65(-4.99,-0.29)*	0.15(-2.42,2.65)
C00_C97	2006_2010	2011_2015	5	EQI	0.00	4.30(1.97,6.64)***	4.63(2.13,7.03)***	4.81(2.26,7.33)***	5.19(2.64,7.74)***
C00_C97	2006_2010	2011_2015	5	EQI_Air	0.00	4.46(2.18,6.64)***	5.10(2.82,7.36)***	6.74(4.50,8.98)***	6.68(4.20,9.13)***
C00_C97	2006_2010	2011_2015	5	EQI_Water	0.00	0.78(-1.67,3.23)	-0.72(-3.34,1.80)	1.53(-0.97,4.12)	2.20(-0.40,4.79)
C00_C97	2006_2010	2011_2015	5	EQI_Land	0.00	3.38(1.37,5.35)**	3.89(1.89,5.90)***	3.27(1.19,5.38)**	4.55(2.38,6.71)***
C00_C97	2006_2010	2011_2015	5	EQI_Built	0.00	1.64(-0.56,3.95)	0.88(-1.44,3.14)	-0.33(-2.64,1.98)	-2.12(-4.56,0.28)
C00_C97	2006_2010	2011_2015	5	EQI_Social	0.00	-4.34(-6.21,-2.47)***	-5.52(-7.64,-3.38)***	-4.82(-7.19,-2.49)***	-6.37(-8.88,-3.84)***
C00_C97	2006_2010	2016_2020	10	EQI	0.00	4.39(2.08,6.69)***	3.55(1.13,5.91)**	3.76(1.30,6.17)**	4.86(2.35,7.46)***
C00_C97	2006_2010	2016_2020	10	EQI_Air	0.00	3.86(1.70,5.99)***	3.89(1.67,6.19)**	4.28(1.96,6.55)***	5.11(2.75,7.53)***
C00_C97	2006_2010	2016_2020	10	EQI_Water	0.00	0.50(-1.89,2.90)	-0.56(-2.91,1.79)	0.39(-1.95,2.69)	1.05(-1.38,3.58)
C00_C97	2006_2010	2016_2020	10	EQI_Land	0.00	2.68(0.79,4.62)**	4.47(2.55,6.36)***	5.39(3.33,7.47)***	5.74(3.62,7.81)***
C00_C97	2006_2010	2016_2020	10	EQI_Built	0.00	2.29(0.12,4.46)*	0.71(-1.54,2.86)	-0.29(-2.53,1.96)	-1.31(-3.61,0.92)
C00_C97	2006_2010	2016_2020	10	EQI_Social	0.00	-2.59(-4.34,-0.78)**	-3.20(-5.32,-1.14)**	-1.14(-3.53,1.16)	-3.16(-5.87,-0.47)*

Race White

C00_C97	2000_2005	2006_2010	5	EQI	0.00	4.55(2.04,7.13)***	4.33(1.76,6.83)***	5.42(2.78,8.03)***	10.16(7.24,13.11)***
C00_C97	2000_2005	2006_2010	5	EQI_Air	0.00	4.99(2.27,7.69)***	6.88(4.05,9.69)***	8.75(5.79,11.56)***	10.99(7.93,14.02)***
C00_C97	2000_2005	2006_2010	5	EQI_Water	0.00	4.05(0.65,7.52)*	2.55(-1.02,6.04)	3.36(-0.04,6.64)	3.42(-0.08,7.01)
C00_C97	2000_2005	2006_2010	5	EQI_Land	0.00	0.67(-1.56,2.92)	1.72(-0.67,4.10)	0.36(-2.29,3.07)	1.34(-1.50,4.17)
C00_C97	2000_2005	2006_2010	5	EQI_Built	0.00	5.18(2.75,7.59)***	4.75(2.37,7.13)***	5.11(2.60,7.57)***	5.63(2.96,8.18)***
C00_C97	2000_2005	2006_2010	5	EQI_Social	0.00	-0.34(-2.71,2.02)	-1.70(-4.14,0.82)	-0.60(-3.14,1.99)	2.45(-0.32,5.28)
