ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
NDD_Asian,2000_2005,2006_2010,5,Stratified_EQI,0.00,"0.10(-0.30,0.49)","0.43(0.03,0.84)*","0.74(0.30,1.17)**","3.48(2.98,3.97)***",0.6121,0.0367,0.0022,0.0002,1.0031,1.0032,1.0027,1.0043,2064,1502,1402,1389,2842,2498,1962,2398
"NDD_Asian","2000_2005","2006_2010",5,"Stratified_Air","0.00","0.69(0.26,1.13)**","1.20(0.74,1.68)***","1.91(1.38,2.40)***","4.70(4.12,5.25)***","0.0032","0.0002","0.0002","0.0002","1.0015","1.0019","1.0026","1.0023",1830,1458,1181,1133,2807,2269,2011,2175
"NDD_Asian","2000_2005","2006_2010",5,"Stratified_Water","0.00","-0.30(-0.88,0.25)","-0.17(-0.77,0.44)","-0.48(-1.08,0.10)","0.08(-0.57,0.74)","0.2967","0.5861","0.1197","0.8090","1.0039","1.0052","1.0047","1.0029",1148,1049,1061,1080,2120,2003,1969,2063
"NDD_Asian","2000_2005","2006_2010",5,"Stratified_Land","0.00","-0.09(-0.49,0.31)","0.06(-0.39,0.50)","-0.35(-0.86,0.16)","0.22(-0.32,0.77)","0.6501","0.8160","0.1762","0.4251","1.0012","1.0010","1.0007","1.0010",1840,1398,1259,1221,2570,2269,2130,1704
"NDD_Asian","2000_2005","2006_2010",5,"Stratified_Built","0.00","-0.43(-0.83,-0.06)*","-0.46(-0.86,-0.07)*","-0.13(-0.55,0.30)","0.21(-0.25,0.66)","0.0272","0.0227","0.5381","0.3637","1.0003","1.0003","1.0005","1.0011",2129,1721,1743,1461,2549,2212,2398,2486
"NDD_Asian","2000_2005","2006_2010",5,"Stratified_Social","0.00","-0.54(-0.92,-0.14)**","-0.71(-1.15,-0.29)**","-0.85(-1.32,-0.36)***","-0.38(-0.95,0.18)","0.0052","0.0012","0.0002","0.1912","1.0003","1.0004","1.0014","1.0018",1948,1451,1376,1105,2781,2324,2384,2028
"NDD_Asian","2000_2005","2006_2010",5,"Stratified_EQI","0.00","0.04(-1.96,1.95)","1.02(-0.82,2.83)","1.21(-0.64,2.99)","5.33(3.33,7.23)***","0.9700","0.2747","0.1972","0.0002","1.0001","0.9999","0.9999","0.9998",2156,2081,1805,1684,2880,2763,2670,2513
"NDD_Asian","2000_2005","2006_2010",5,"Stratified_Air","0.00","0.70(-2.08,3.38)","2.03(-0.50,4.45)","2.93(0.35,5.51)*","6.62(3.92,9.23)***","0.6196","0.1187","0.0227","0.0002","1.0004","1.0011","1.0011","1.0011",1528,1351,1284,1201,2563,2494,1977,1998
"NDD_Asian","2000_2005","2006_2010",5,"Stratified_Water","0.00","-1.28(-3.10,0.55)","0.14(-1.68,2.04)","-1.12(-2.94,0.77)","-0.66(-2.64,1.28)","0.1817","0.8820","0.2522","0.5146","1.0013","1.0019","1.0025","1.0023",1549,1515,1409,1206,2418,2203,2619,2311
"NDD_Asian","2000_2005","2006_2010",5,"Stratified_Land","0.00","-0.33(-1.81,1.09)","0.27(-1.32,1.78)","-0.23(-1.96,1.48)","0.80(-1.01,2.61)","0.6541","0.7141","0.8085","0.3902","1.0040","1.0042","1.0040","1.0066",2225,1455,1379,1106,2462,2570,2644,2244
"NDD_Asian","2000_2005","2006_2010",5,"Stratified_Built","0.00","-1.37(-2.78,0.03)","-1.57(-3.08,-0.03)*","0.29(-1.23,1.82)","1.53(-0.05,3.09)","0.0577","0.0452","0.7241","0.0572","1.0024","1.0010","1.0018","1.0005",2573,2061,1989,1816,2682,2910,2585,2895
"NDD_Asian","2000_2005","2006_2010",5,"Stratified_Social","0.00","-0.10(-2.00,1.81)","0.03(-1.81,1.85)","-0.46(-2.31,1.33)","0.10(-1.74,2.01)","0.9125","0.9740","0.6106","0.9235","1.0032","1.0016","1.0021","1.0021",1899,1665,1477,1463,2892,2592,2475,2284
