ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
NDD_Black,2000_2005,2006_2010,5,Stratified_EQI,0.00,"4.55(2.36,6.66)***","8.69(6.47,10.85)***","14.17(11.86,16.49)***","26.81(24.27,29.36)***",0.0002,0.0002,0.0002,0.0002,1.0005,1.0012,1.0007,1.0005,1888,1805,1653,1423,2190,2558,2367,2380
"NDD_Black","2000_2005","2006_2010",5,"Stratified_Air","0.00","1.85(-0.15,3.91)","6.17(4.00,8.37)***","14.17(11.75,16.54)***","32.56(29.85,35.35)***","0.0692","0.0002","0.0002","0.0002","1.0004","1.0003","1.0015","1.0004",2832,2400,2196,2032,3076,2704,2824,2713
"NDD_Black","2000_2005","2006_2010",5,"Stratified_Water","0.00","0.31(-2.37,2.99)","1.69(-1.20,4.59)","-1.22(-4.11,1.66)","1.08(-2.03,4.22)","0.8260","0.2462","0.4001","0.4886","0.9998","1.0007","1.0027","1.0008",1883,1781,1709,1721,2597,2524,2468,2299
"NDD_Black","2000_2005","2006_2010",5,"Stratified_Land","0.00","-2.87(-4.97,-0.71)**","-3.70(-5.93,-1.49)**","-4.45(-6.91,-1.89)***","-3.36(-6.00,-0.58)*","0.0092","0.0022","0.0007","0.0167","1.0006","1.0012","1.0009","1.0010",3197,2687,2384,2296,2840,2823,2835,2561
"NDD_Black","2000_2005","2006_2010",5,"Stratified_Built","0.00","1.58(-0.35,3.48)","4.46(2.41,6.43)***","5.23(3.09,7.35)***","5.07(2.80,7.27)***","0.1112","0.0002","0.0002","0.0002","1.0010","1.0033","1.0031","1.0018",3243,2758,2754,2605,3104,2863,2942,3033
"NDD_Black","2000_2005","2006_2010",5,"Stratified_Social","0.00","1.73(-0.26,3.69)","0.80(-1.37,2.92)","3.60(1.36,5.96)**","0.24(-2.37,2.87)","0.0877","0.4631","0.0032","0.8585","1.0004","1.0022","1.0024","1.0018",3399,2805,2503,2157,3057,2999,2482,2816
"NDD_Black","2000_2005","2006_2010",5,"Stratified_EQI","0.00","-2.78(-8.20,2.44)","2.93(-1.94,7.70)","10.07(5.45,14.82)***","23.44(18.70,28.22)***","0.3117","0.2362","0.0002","0.0002","1.0004","1.0009","1.0003","1.0007",2825,2347,2069,1954,2809,2667,2643,2480
"NDD_Black","2000_2005","2006_2010",5,"Stratified_Air","0.00","-7.75(-13.52,-1.94)**","-1.29(-6.45,3.71)","6.14(1.10,11.19)*","23.24(17.99,28.25)***","0.0082","0.6241","0.0182","0.0002","1.0009","1.0001","1.0005","1.0012",3913,3024,2647,2622,2848,2818,2689,2711
"NDD_Black","2000_2005","2006_2010",5,"Stratified_Water","0.00","0.42(-4.64,5.41)","1.72(-3.34,6.69)","-1.77(-6.67,3.12)","-0.65(-5.81,4.42)","0.8620","0.5001","0.4831","0.8285","0.9997","1.0007","1.0009","1.0004",3077,3046,3087,2318,3115,3015,2840,2903
"NDD_Black","2000_2005","2006_2010",5,"Stratified_Land","0.00","0.36(-3.85,4.57)","-1.43(-5.69,2.96)","-1.98(-6.65,2.84)","-0.24(-5.34,4.69)","0.8680","0.5116","0.4201","0.9275","0.9999","1.0012","1.0005","1.0003",3959,3251,2560,2693,3098,3003,2796,2793
"NDD_Black","2000_2005","2006_2010",5,"Stratified_Built","0.00","0.73(-3.44,4.84)","4.36(-0.11,8.68)","10.34(5.93,14.76)***","11.37(7.04,15.72)***","0.7256","0.0552","0.0002","0.0002","1.0018","1.0017","1.0011","1.0005",4325,4072,3259,3421,3472,3414,3430,3410
"NDD_Black","2000_2005","2006_2010",5,"Stratified_Social","0.00","0.96(-4.23,6.08)","1.56(-3.11,6.34)","5.54(1.04,10.10)*","-1.13(-5.60,3.25)","0.7156","0.5101","0.0177","0.6186","1.0008","1.0011","1.0013","1.0003",4015,3589,3240,3195,3167,3321,2941,3005
