ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5
C00_C97,2000_2005,2006_2010,5,EQI,0.00,"8.43(5.88,11.00)***","9.51(6.96,12.06)***","12.36(9.85,14.93)***","18.46(15.68,21.18)***"
"C00_C97","2000_2005","2006_2010",5,"EQI_Air","0.00","6.68(3.76,9.56)***","8.03(5.15,10.90)***","9.52(6.66,12.31)***","13.58(10.65,16.53)***"
"C00_C97","2000_2005","2006_2010",5,"EQI_Water","0.00","4.38(1.20,7.45)**","4.24(1.21,7.31)**","5.02(1.97,8.09)**","5.00(1.83,8.13)**"
"C00_C97","2000_2005","2006_2010",5,"EQI_Land","0.00","3.02(0.80,5.26)*","4.36(1.92,6.63)**","5.05(2.45,7.59)***","4.61(1.86,7.28)***"
"C00_C97","2000_2005","2006_2010",5,"EQI_Built","0.00","4.88(2.28,7.47)***","5.88(3.21,8.45)***","7.83(5.07,10.39)***","9.35(6.55,12.07)***"
"C00_C97","2000_2005","2006_2010",5,"EQI_Social","0.00","-1.46(-3.94,0.93)","-3.26(-5.79,-0.84)**","-1.50(-4.10,1.09)","1.61(-1.25,4.39)"
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI","0.00","5.01(0.93,9.17)*","7.70(3.86,11.64)***","12.10(8.58,15.82)***","18.92(15.38,22.52)***"
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Air","0.00","1.57(-3.59,6.66)","5.50(1.06,9.98)*","7.09(2.94,11.36)**","11.31(7.01,15.55)***"
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Water","0.00","2.31(-1.11,5.77)","1.52(-1.77,4.72)","1.57(-1.50,4.79)","1.46(-1.87,4.80)"
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Land","0.00","3.54(0.85,6.21)*","5.03(2.31,7.76)**","4.55(1.49,7.60)**","5.49(2.37,8.57)***"
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Built","0.00","3.72(0.49,6.92)*","5.99(2.85,9.03)***","6.87(3.81,9.97)***","9.09(5.95,12.20)***"
"C00_C97","2000_2005","2006_2010",5,"RUCC1_EQI_Social","0.00","3.29(-0.33,6.82)","4.43(1.09,7.63)*","3.96(0.79,7.28)*","7.70(4.62,10.77)***"
"C00_C97","2000_2005","2006_2010",5,"RUCC2_EQI","0.00","-0.68(-6.35,5.05)","7.92(2.64,13.25)**","8.70(3.42,13.66)***","9.61(4.55,14.69)***"
"C00_C97","2000_2005","2006_2010",5,"RUCC2_EQI_Air","0.00","3.95(-2.18,10.06)","6.25(0.80,11.40)*","7.50(2.36,12.68)**","6.74(1.10,12.22)*"
"C00_C97","2000_2005","2006_2010",5,"RUCC2_EQI_Water","0.00","0.19(-5.55,5.78)","1.14(-4.06,6.43)","-0.23(-4.78,4.70)","3.67(-0.92,8.48)"
"C00_C97","2000_2005","2006_2010",5,"RUCC2_EQI_Land","0.00","5.12(0.76,9.62)*","3.69(-0.89,8.35)","5.24(0.82,9.52)*","3.79(-1.05,8.57)"
"C00_C97","2000_2005","2006_2010",5,"RUCC2_EQI_Built","0.00","0.52(-5.83,6.80)","1.47(-4.15,6.79)","5.88(0.56,11.18)*","10.59(5.26,15.96)***"
"C00_C97","2000_2005","2006_2010",5,"RUCC2_EQI_Social","0.00","0.85(-3.70,5.18)","-1.83(-6.43,2.61)","-0.21(-4.97,4.46)","2.99(-2.01,7.91)"
"C00_C97","2000_2005","2006_2010",5,"RUCC3_EQI","0.00","6.74(2.99,10.46)***","4.80(1.02,8.54)*","8.95(5.08,12.78)***","9.90(4.96,14.89)***"
"C00_C97","2000_2005","2006_2010",5,"RUCC3_EQI_Air","0.00","5.70(1.95,9.54)**","7.43(3.48,11.24)***","7.00(2.68,11.37)**","4.99(-1.28,11.43)"
"C00_C97","2000_2005","2006_2010",5,"RUCC3_EQI_Water","0.00","4.18(-0.01,8.39)","2.22(-2.19,6.36)","6.26(2.26,10.46)**","3.97(-0.65,8.36)"
"C00_C97","2000_2005","2006_2010",5,"RUCC3_EQI_Land","0.00","-0.07(-3.64,3.48)","4.00(0.17,7.84)*","4.13(0.14,8.16)*","4.97(0.52,9.45)*"
"C00_C97","2000_2005","2006_2010",5,"RUCC3_EQI_Built","0.00","3.86(-0.13,7.88)","4.03(0.07,7.99)*","6.97(2.80,10.97)**","6.46(2.20,10.81)**"
"C00_C97","2000_2005","2006_2010",5,"RUCC3_EQI_Social","0.00","-0.07(-3.54,3.35)","-3.84(-7.55,0.04)","0.16(-3.99,4.35)","0.88(-4.39,5.90)"
"C00_C97","2000_2005","2006_2010",5,"RUCC4_EQI","0.00","4.10(-1.69,9.75)","7.99(1.46,14.13)*","8.76(1.11,16.05)*","0.24(-9.42,9.49)"
"C00_C97","2000_2005","2006_2010",5,"RUCC4_EQI_Air","0.00","5.31(-0.26,10.87)","1.12(-5.70,7.80)","1.35(-7.10,9.96)","0.02(-10.22,10.22)"
"C00_C97","2000_2005","2006_2010",5,"RUCC4_EQI_Water","0.00","3.86(-2.17,9.69)","2.98(-3.24,9.25)","1.72(-4.76,8.02)","2.64(-3.99,9.33)"
"C00_C97","2000_2005","2006_2010",5,"RUCC4_EQI_Land","0.00","1.62(-4.33,7.67)","4.07(-2.42,10.51)","6.61(0.14,12.87)*","3.51(-3.16,10.31)"
"C00_C97","2000_2005","2006_2010",5,"RUCC4_EQI_Built","0.00","2.71(-3.28,8.49)","3.20(-3.10,9.32)","4.20(-3.42,11.62)","5.04(-2.66,12.59)"
"C00_C97","2000_2005","2006_2010",5,"RUCC4_EQI_Social","0.00","-0.61(-6.46,5.20)","2.05(-4.03,7.95)","6.98(0.49,13.83)*","6.20(-1.35,14.02)"
"C00_C97","2000_2005","2011_2015",10,"EQI","0.00","4.70(2.40,6.96)***","5.77(3.58,7.95)***","8.32(6.08,10.55)***","12.56(10.25,14.91)***"
"C00_C97","2000_2005","2011_2015",10,"EQI_Air","0.00","4.90(2.24,7.58)***","7.21(4.57,9.85)***","7.65(4.89,10.38)***","10.35(7.43,13.21)***"
"C00_C97","2000_2005","2011_2015",10,"EQI_Water","0.00","1.70(-1.12,4.68)","0.28(-2.51,3.15)","1.99(-0.78,4.95)","2.01(-0.87,4.99)"
"C00_C97","2000_2005","2011_2015",10,"EQI_Land","0.00","2.39(0.46,4.38)*","2.76(0.62,4.89)*","2.97(0.71,5.37)*","3.65(1.15,6.26)**"
"C00_C97","2000_2005","2011_2015",10,"EQI_Built","0.00","2.49(0.29,4.67)*","4.33(2.09,6.49)***","5.13(2.92,7.24)***","7.28(4.98,9.60)***"
"C00_C97","2000_2005","2011_2015",10,"EQI_Social","0.00","-0.76(-2.90,1.37)","-2.55(-4.79,-0.40)*","-2.65(-4.99,-0.29)*","0.15(-2.42,2.65)"
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI","0.00","5.69(2.11,9.44)**","7.33(3.89,10.62)***","11.94(8.63,15.26)***","16.12(12.85,19.48)***"
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Air","0.00","1.92(-2.79,6.60)","7.44(3.27,11.78)**","9.51(5.52,13.66)***","11.83(7.81,16.03)***"
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Water","0.00","-0.24(-3.45,3.15)","1.14(-2.00,4.23)","1.24(-1.78,4.25)","2.30(-0.75,5.51)"
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Land","0.00","3.34(0.87,5.79)**","2.59(0.11,5.07)*","3.46(0.70,6.10)*","4.31(1.40,7.32)**"
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Built","0.00","3.25(0.31,6.09)*","2.86(-0.10,5.68)","4.33(1.39,7.11)***","6.57(3.65,9.46)***"
"C00_C97","2000_2005","2011_2015",10,"RUCC1_EQI_Social","0.00","4.42(0.96,7.83)**","3.37(0.26,6.44)*","3.31(0.30,6.40)*","5.20(2.33,8.13)***"
"C00_C97","2000_2005","2011_2015",10,"RUCC2_EQI","0.00","0.62(-4.94,5.99)","7.07(2.12,12.05)**","6.64(1.80,11.49)*","8.58(3.69,13.44)**"
"C00_C97","2000_2005","2011_2015",10,"RUCC2_EQI_Air","0.00","5.19(-0.53,11.03)","5.77(0.68,11.00)*","5.97(0.86,11.29)*","6.14(0.72,11.47)*"
"C00_C97","2000_2005","2011_2015",10,"RUCC2_EQI_Water","0.00","1.72(-3.77,7.03)","-0.96(-5.95,4.02)","0.30(-4.45,5.13)","2.55(-1.91,7.09)"
"C00_C97","2000_2005","2011_2015",10,"RUCC2_EQI_Land","0.00","1.19(-3.06,5.60)","4.83(0.39,9.23)*","6.47(2.34,10.61)**","4.97(0.40,9.67)*"
"C00_C97","2000_2005","2011_2015",10,"RUCC2_EQI_Built","0.00","-0.73(-6.97,5.43)","3.49(-1.71,8.66)","5.91(0.79,10.90)*","8.53(3.09,13.74)***"
"C00_C97","2000_2005","2011_2015",10,"RUCC2_EQI_Social","0.00","-1.51(-5.94,2.71)","-2.31(-6.83,2.08)","-3.57(-7.92,0.84)","1.38(-3.50,6.16)"
"C00_C97","2000_2005","2011_2015",10,"RUCC3_EQI","0.00","5.25(1.69,8.65)**","5.60(2.19,9.12)**","7.61(4.05,11.24)***","9.56(4.81,14.25)***"
"C00_C97","2000_2005","2011_2015",10,"RUCC3_EQI_Air","0.00","3.84(0.29,7.34)*","7.26(3.57,11.05)***","4.96(1.08,8.90)*","3.11(-3.24,9.49)"
"C00_C97","2000_2005","2011_2015",10,"RUCC3_EQI_Water","0.00","2.70(-1.34,6.64)","-0.61(-4.45,3.38)","2.64(-1.29,6.71)","0.95(-3.10,5.07)"
"C00_C97","2000_2005","2011_2015",10,"RUCC3_EQI_Land","0.00","2.22(-1.29,5.64)","3.67(0.09,7.25)*","3.77(-0.28,7.61)","5.04(0.81,9.33)*"
"C00_C97","2000_2005","2011_2015",10,"RUCC3_EQI_Built","0.00","1.48(-2.33,5.13)","4.84(1.16,8.56)*","5.58(1.85,9.43)**","6.63(2.48,10.55)**"
"C00_C97","2000_2005","2011_2015",10,"RUCC3_EQI_Social","0.00","-1.65(-4.82,1.47)","-2.83(-6.35,0.60)","-1.40(-5.35,2.56)","0.99(-3.88,6.04)"
"C00_C97","2000_2005","2011_2015",10,"RUCC4_EQI","0.00","2.75(-2.72,8.12)","4.65(-1.18,10.58)","5.93(-1.27,13.19)","0.25(-9.24,9.68)"
"C00_C97","2000_2005","2011_2015",10,"RUCC4_EQI_Air","0.00","4.20(-1.19,9.71)","3.83(-2.73,10.39)","1.57(-7.12,10.13)","-0.00(-9.64,10.06)"
"C00_C97","2000_2005","2011_2015",10,"RUCC4_EQI_Water","0.00","1.90(-3.87,7.59)","0.01(-5.65,6.16)","-0.26(-6.50,5.98)","-0.60(-7.16,5.61)"
"C00_C97","2000_2005","2011_2015",10,"RUCC4_EQI_Land","0.00","-0.04(-5.92,5.60)","0.30(-5.89,6.07)","3.51(-3.01,9.91)","1.00(-5.58,7.64)"
"C00_C97","2000_2005","2011_2015",10,"RUCC4_EQI_Built","0.00","3.35(-2.18,8.95)","1.31(-4.81,7.61)","1.03(-5.81,7.96)","5.46(-1.46,12.59)"
"C00_C97","2000_2005","2011_2015",10,"RUCC4_EQI_Social","0.00","3.04(-2.31,8.46)","5.56(-0.39,11.75)","6.23(-0.28,12.74)","6.27(-1.42,13.71)"
"C00_C97","2006_2010","2011_2015",5,"EQI","0.00","4.30(1.97,6.64)***","4.63(2.13,7.03)***","4.81(2.26,7.33)***","5.19(2.64,7.74)***"
"C00_C97","2006_2010","2011_2015",5,"EQI_Air","0.00","4.46(2.18,6.64)***","5.10(2.82,7.36)***","6.74(4.50,8.98)***","6.68(4.20,9.13)***"
"C00_C97","2006_2010","2011_2015",5,"EQI_Water","0.00","0.78(-1.67,3.23)","-0.72(-3.34,1.80)","1.53(-0.97,4.12)","2.20(-0.40,4.79)"
"C00_C97","2006_2010","2011_2015",5,"EQI_Land","0.00","3.38(1.37,5.35)**","3.89(1.89,5.90)***","3.27(1.19,5.38)**","4.55(2.38,6.71)***"
"C00_C97","2006_2010","2011_2015",5,"EQI_Built","0.00","1.64(-0.56,3.95)","0.88(-1.44,3.14)","-0.33(-2.64,1.98)","-2.12(-4.56,0.28)"
"C00_C97","2006_2010","2011_2015",5,"EQI_Social","0.00","-4.34(-6.21,-2.47)***","-5.52(-7.64,-3.38)***","-4.82(-7.19,-2.49)***","-6.37(-8.88,-3.84)***"
"C00_C97","2006_2010","2011_2015",5,"RUCC1_EQI","0.00","8.15(4.80,11.43)***","7.24(3.95,10.51)***","7.53(4.22,10.78)***","7.89(4.55,11.18)***"
"C00_C97","2006_2010","2011_2015",5,"RUCC1_EQI_Air","0.00","3.38(0.95,5.78)**","4.24(1.70,6.87)***","5.91(3.43,8.45)***","5.53(2.89,8.16)***"
"C00_C97","2006_2010","2011_2015",5,"RUCC1_EQI_Water","0.00","-0.39(-3.16,2.37)","0.94(-1.91,3.84)","1.84(-1.03,4.62)","2.31(-0.62,5.16)"
"C00_C97","2006_2010","2011_2015",5,"RUCC1_EQI_Land","0.00","2.45(0.31,4.53)*","2.19(-0.05,4.39)","2.23(-0.18,4.55)","2.19(-0.31,4.80)"
"C00_C97","2006_2010","2011_2015",5,"RUCC1_EQI_Built","0.00","3.95(0.78,7.21)*","3.74(0.60,6.89)*","3.56(0.45,6.72)*","1.08(-2.03,4.25)"
"C00_C97","2006_2010","2011_2015",5,"RUCC1_EQI_Social","0.00","-5.58(-7.51,-3.68)***","-5.40(-8.02,-2.68)***","-5.21(-8.73,-1.67)**","-11.31(-15.35,-7.39)***"
"C00_C97","2006_2010","2011_2015",5,"RUCC2_EQI","0.00","1.63(-2.71,6.06)","2.39(-1.88,6.71)","2.16(-2.38,6.77)","1.19(-3.90,6.11)"
"C00_C97","2006_2010","2011_2015",5,"RUCC2_EQI_Air","0.00","3.11(-1.47,7.47)","1.21(-3.19,5.49)","3.81(-1.00,8.53)","-0.95(-5.74,3.62)"
"C00_C97","2006_2010","2011_2015",5,"RUCC2_EQI_Water","0.00","-1.01(-6.12,3.99)","-2.18(-6.77,2.57)","0.09(-4.42,4.81)","3.87(-0.64,8.52)"
"C00_C97","2006_2010","2011_2015",5,"RUCC2_EQI_Land","0.00","4.99(0.92,8.99)*","3.72(-1.27,8.57)","3.57(-0.66,7.88)","7.44(3.20,11.51)***"
"C00_C97","2006_2010","2011_2015",5,"RUCC2_EQI_Built","0.00","1.35(-2.73,5.54)","1.13(-3.20,5.58)","-1.32(-5.86,3.10)","-3.95(-9.73,1.77)"
"C00_C97","2006_2010","2011_2015",5,"RUCC2_EQI_Social","0.00","-0.45(-4.58,3.64)","-4.25(-8.93,0.18)","-3.83(-9.36,1.62)","-0.57(-7.88,6.69)"
"C00_C97","2006_2010","2011_2015",5,"RUCC3_EQI","0.00","4.72(1.11,8.31)**","4.34(0.63,8.01)*","0.85(-3.03,4.84)","-0.66(-4.92,3.57)"
"C00_C97","2006_2010","2011_2015",5,"RUCC3_EQI_Air","0.00","1.14(-2.64,4.79)","4.03(0.32,7.82)*","5.59(1.87,9.45)**","4.51(0.51,8.58)*"
"C00_C97","2006_2010","2011_2015",5,"RUCC3_EQI_Water","0.00","2.38(-1.44,6.32)","-0.33(-4.11,3.43)","1.67(-2.28,5.61)","1.00(-2.91,5.02)"
"C00_C97","2006_2010","2011_2015",5,"RUCC3_EQI_Land","0.00","3.83(0.06,7.53)*","3.52(-0.16,7.23)","2.74(-0.89,6.50)","3.67(0.10,7.13)*"
"C00_C97","2006_2010","2011_2015",5,"RUCC3_EQI_Built","0.00","2.47(-1.01,5.98)","-1.94(-5.55,1.62)","-3.69(-7.62,0.21)","-7.35(-12.04,-2.72)**"
"C00_C97","2006_2010","2011_2015",5,"RUCC3_EQI_Social","0.00","1.71(-2.98,6.13)","-1.23(-5.71,3.09)","-0.58(-5.25,3.97)","-2.58(-7.51,2.15)"
"C00_C97","2006_2010","2011_2015",5,"RUCC4_EQI","0.00","-0.45(-6.03,5.13)","0.14(-5.93,6.35)","0.39(-6.36,6.81)","-0.15(-7.08,6.89)"
"C00_C97","2006_2010","2011_2015",5,"RUCC4_EQI_Air","0.00","4.31(-1.85,10.32)","6.96(1.09,12.75)*","3.10(-2.91,9.34)","5.27(-1.52,11.77)"
"C00_C97","2006_2010","2011_2015",5,"RUCC4_EQI_Water","0.00","5.53(-0.19,11.23)","-1.74(-7.81,4.59)","1.20(-4.81,7.24)","0.97(-5.81,7.77)"
"C00_C97","2006_2010","2011_2015",5,"RUCC4_EQI_Land","0.00","2.51(-3.42,8.46)","3.01(-3.21,9.40)","0.79(-5.51,7.10)","4.23(-2.35,10.45)"
