"quintile","mean","sd","q025","q975","rhat","ess_bulk","ess_tail","domain","source_file"
"Q2",5.97926680625,1.34644065092429,3.349562,8.580857,1.00221604896887,4778.42500697065,5619.83907933318,"Air","CRD_Lag5_Air.rds"
"Q3",9.16263275875,1.36090012675679,6.45214725,11.808805,1.00325211728271,4041.83330262385,5102.09355715688,"Air","CRD_Lag5_Air.rds"
"Q4",10.8265115025,1.42289292484873,8.01038575,13.5868,1.00336065484349,3496.05786303178,5155.88572205805,"Air","CRD_Lag5_Air.rds"
"Q5",11.82612754,1.53935201262137,8.79042625,14.87388,1.00367062479628,3454.36397351019,4493.52702184495,"Air","CRD_Lag5_Air.rds"
"Q2",3.09321122259,1.22818912375633,0.687644275,5.50204175,1.00151744494468,6043.26545646312,6336.09241432698,"Built","CRD_Lag5_Built.rds"
"Q3",3.9124054687125,1.24082132575248,1.476165,6.37537725,1.0003550167343,5134.81005798787,5722.6288317722,"Built","CRD_Lag5_Built.rds"
"Q4",4.889543805625,1.2794887640434,2.44507025,7.395188,1.00005512792411,4629.34738153724,5743.54666411994,"Built","CRD_Lag5_Built.rds"
"Q5",4.652815319275,1.37347305781007,1.9216805,7.32876175,1.00046074541783,4642.51221628951,5598.94565749634,"Built","CRD_Lag5_Built.rds"
"Q2",-2.27863801278163,1.20980745050409,-4.61556275,0.124131924999998,1.00185781998959,5622.52679034818,6763.71077882886,"Land","CRD_Lag5_Land.rds"
"Q3",-1.54685068069162,1.29468956214276,-4.11736525,0.96626745,1.00196691321637,4776.63897201444,6070.74597535232,"Land","CRD_Lag5_Land.rds"
"Q4",-2.512191979615,1.43186069658682,-5.31332075,0.24247995,1.00130538598367,4324.80072467541,5826.38207354994,"Land","CRD_Lag5_Land.rds"
"Q5",-1.59430657988212,1.52420691818294,-4.6026065,1.32873025,1.00309605993634,4154.97840935335,5055.49980114407,"Land","CRD_Lag5_Land.rds"
"Q2",2.10249077248825,1.22448699604506,-0.291458225,4.51890975,1.00242482791289,5487.89905396647,5746.19561987619,"Social","CRD_Lag5_Social.rds"
"Q3",-0.3832048768876,1.34379713771706,-3.00439225,2.1993615,1.00239389722153,4679.07898807823,5659.59982028325,"Social","CRD_Lag5_Social.rds"
"Q4",1.04699728330763,1.47555040829584,-1.8553855,3.97029975,1.00262028549878,4137.00409962604,5301.48980829413,"Social","CRD_Lag5_Social.rds"
"Q5",3.127482317465,1.69351854199982,-0.16636125,6.40187275,1.00321989491096,3708.98119544503,5224.08174189649,"Social","CRD_Lag5_Social.rds"
"Q2",-1.24572260040787,1.59497904463123,-4.34710625,1.8480045,1.00279452679778,3992.04120249293,5072.73322694484,"Water","CRD_Lag5_Water.rds"
"Q3",2.26121151726526,1.63194509576517,-0.935148675,5.462722,1.00293503324754,3871.33912334193,5048.12643191055,"Water","CRD_Lag5_Water.rds"
"Q4",3.79598016419125,1.63475286227233,0.652396225,6.9947635,1.00279579094006,3759.00240961819,5185.58361214455,"Water","CRD_Lag5_Water.rds"
"Q5",4.5905269464775,1.69927265569686,1.316154,7.88929075,1.00268580532619,3751.17693764485,5136.74640546055,"Water","CRD_Lag5_Water.rds"
